all_recipients,crs_sector_name,flow,flow_class,funding_agency,intent,location_details,latitude,longitude,place_name,year,project_title,recipient_condensed,round_coded,aid_amount,predicted_by_modeling,aid_in_millions
Botswana,Other Social infrastructure and services,Loan (excluding debt rescheduling),Vague (Official Finance),"Unspecified Chinese Government Institution, Government Agency",Development,Gaborone,-25.22435,25.67728,Lobatse,2004,China Finances Multi-Purpose Youth Centre,Botswana,ChinatoAfrica,19577544.0,False,19.577544
Botswana,Other Social infrastructure and services,Loan (excluding debt rescheduling),Vague (Official Finance),"Unspecified Chinese Government Institution, Government Agency",Development,Gaborone,-24.654510000000002,25.90859,Gaborone,2004,China Finances Multi-Purpose Youth Centre,Botswana,ChinatoAfrica,19577544.0,False,19.577544
Botswana,Other Social infrastructure and services,Loan (excluding debt rescheduling),Vague (Official Finance),"Unspecified Chinese Government Institution, Government Agency",Development,Gaborone,-19.98333,23.41667,Maun,2004,China Finances Multi-Purpose Youth Centre,Botswana,ChinatoAfrica,19577544.0,False,19.577544
Botswana,Other Social infrastructure and services,Loan (excluding debt rescheduling),Vague (Official Finance),"Unspecified Chinese Government Institution, Government Agency",Development,Gaborone,-21.16995,27.50788,Francistown,2004,China Finances Multi-Purpose Youth Centre,Botswana,ChinatoAfrica,19577544.0,False,19.577544
Botswana,Other Social infrastructure and services,Loan (excluding debt rescheduling),Vague (Official Finance),"Unspecified Chinese Government Institution, Government Agency",Development,Gaborone,-24.76234,25.7995,Gaborone,2004,China Finances Multi-Purpose Youth Centre,Botswana,ChinatoAfrica,19577544.0,False,19.577544
Botswana,Other Social infrastructure and services,Loan (excluding debt rescheduling),Vague (Official Finance),"Unspecified Chinese Government Institution, Government Agency",Development,Gaborone,-24.67083,25.90444,Madirelo,2004,China Finances Multi-Purpose Youth Centre,Botswana,ChinatoAfrica,19577544.0,False,19.577544
Botswana,Other Social infrastructure and services,Loan (excluding debt rescheduling),ODA-like,"Export-Import Bank of China, Government Agency",Development,Gaborone,-24.654510000000002,25.90859,Gaborone,2006,Eximbank loan for housing project,Botswana,ChinatoAfrica,17333397.0,False,17.333397
Botswana,Other Social infrastructure and services,Loan (excluding debt rescheduling),ODA-like,"Export-Import Bank of China, Government Agency",Development,Gaborone,-24.76234,25.7995,Gaborone,2006,Eximbank loan for housing project,Botswana,ChinatoAfrica,17333397.0,False,17.333397
Botswana,Other Social infrastructure and services,Loan (excluding debt rescheduling),ODA-like,"Export-Import Bank of China, Government Agency",Development,Gaborone,0.0,0.0,Botswana,2006,Eximbank loan for housing project,Botswana,ChinatoAfrica,17333397.0,False,17.333397
Botswana,Education,Grant,ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,Francistown,-21.16995,27.50788,Francistown,2006,China provides improved technology to Botswana Democratic Party ,Botswana,ChinatoAfrica,220729.0,False,0.220729
Botswana,Education,Grant,ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,Francistown,0.0,0.0,Botswana,2006,China provides improved technology to Botswana Democratic Party ,Botswana,ChinatoAfrica,220729.0,False,0.220729
Botswana,Education,Grant,ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,"Serowe, Maun",-22.387539999999998,26.71077,Serowe,2007,Construction Primary Schools,Botswana,ChinatoAfrica,2139369.0,False,2.139369
Botswana,Education,Grant,ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,"Serowe, Maun",-19.98333,23.41667,Maun,2007,Construction Primary Schools,Botswana,ChinatoAfrica,2139369.0,False,2.139369
Botswana,Energy Generation and Supply,Loan (excluding debt rescheduling),OOF-like,"Industrial and Commercial Bank of China (ICBC), State-Owned Company",Commercial,unknown,-22.52233,27.04883,Morupule B Power Station,2009,ICBC loans 825 million for Morupule B Power Station expansion project,Botswana,AdditionalCoded,1119606500.0,False,1119.6065
Botswana,Education,Grant,ODA-like,"Nantong Municipal Council, Government Agency",Development,Gaborone,-24.654510000000002,25.90859,Gaborone,2009,China donates photocopier and computer to primary school,Botswana,ChinatoAfrica,3793.0,False,0.003793
Botswana,Education,Grant,ODA-like,"Nantong Municipal Council, Government Agency",Development,Gaborone,-24.76234,25.7995,Gaborone,2009,China donates photocopier and computer to primary school,Botswana,ChinatoAfrica,3793.0,False,0.003793
Angola,Emergency Response,Grant,ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,unknown,0.0,0.0,Angola,2002,Buying Goods for UNITA Soldiers,Angola,ChinatoAfrica,1365342.0,False,1.365342
Angola,Emergency Response,Grant,ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,unknown,-8.83682,13.23432,Luanda,2002,"China donates $300,000 USD worth of medicine, equipment and humanitarian aid",Angola,ChinatoAfrica,678053.0,False,0.678053
Angola,Emergency Response,Grant,ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,unknown,0.0,0.0,Angola,2002,"China donates $300,000 USD worth of medicine, equipment and humanitarian aid",Angola,ChinatoAfrica,678053.0,False,0.678053
Sierra Leone,Communications,Loan (excluding debt rescheduling),ODA-like,"Export-Import Bank of China, Government Agency",Development,"Freetown, provincial towns",0.0,0.0,Sierra Leone,2008,China provides $16.6 million loan to Sierra Leone for wireless network upgrade,Sierra Leone,ChinatoAfrica,22889957.0,False,22.889957
Angola,"Agriculture, Forestry and Fishing",Grant,ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,Malanje Province,-9.67548,16.82553,Malanje Province,2005,China donates 46 containers of agricultural inputs to Angola,Angola,ChinatoAfrica,1964716.0,False,1.964716
Angola,"Agriculture, Forestry and Fishing",Grant,ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,Malanje Province,-9.54015,16.34096,Malanje,2005,China donates 46 containers of agricultural inputs to Angola,Angola,ChinatoAfrica,1964716.0,False,1.964716
Angola,Communications,Loan (excluding debt rescheduling),Vague (Official Finance),"Export-Import Bank of China, Government Agency",Development,"Luanda, Benguela and Lobito",0.0,0.0,Angola,2005,Telecommunications Networking--ZTE Corporation and Mundo Startel ,Angola,ChinatoAfrica,135524775.0,False,135.524775
Angola,Water Supply and Sanitation,Loan (excluding debt rescheduling),ODA-like,"Export-Import Bank of China, Government Agency",Development,"Luanda, Cacuaco",-8.91666,13.33924,Luanda Province,2008,Complemetary Action: Water Projects,Angola,ChinatoAfrica,39709939.0,False,39.709939
Angola,Water Supply and Sanitation,Loan (excluding debt rescheduling),ODA-like,"Export-Import Bank of China, Government Agency",Development,"Luanda, Cacuaco",-8.7798,13.37478,Cacuaco,2008,Complemetary Action: Water Projects,Angola,ChinatoAfrica,39709939.0,False,39.709939
Angola,Water Supply and Sanitation,Loan (excluding debt rescheduling),ODA-like,"Export-Import Bank of China, Government Agency",Development,"Luanda, Cacuaco",-8.83682,13.23432,Luanda,2008,Complemetary Action: Water Projects,Angola,ChinatoAfrica,39709939.0,False,39.709939
Angola,Water Supply and Sanitation,Loan (excluding debt rescheduling),ODA-like,"Export-Import Bank of China, Government Agency",Development,"Luanda, Cacuaco",0.0,0.0,Angola,2008,Complemetary Action: Water Projects,Angola,ChinatoAfrica,39709939.0,False,39.709939
Angola,Transport and Storage,Loan (excluding debt rescheduling),OOF-like,"Export-Import Bank of China, Government Agency",Development,"Caxito, Uige, Negage",-7.75938,15.2722,Negage,2008,"Complementary Action: Rehabilitation of Roads for Caxito, Uige, and Negage cities (Related to Project ID#64 and ID#65)",Angola,ChinatoAfrica,77683137.0,False,77.683137
Angola,Transport and Storage,Loan (excluding debt rescheduling),OOF-like,"Export-Import Bank of China, Government Agency",Development,"Caxito, Uige, Negage",-6.05716,15.10971,Maquela do Zombo,2008,"Complementary Action: Rehabilitation of Roads for Caxito, Uige, and Negage cities (Related to Project ID#64 and ID#65)",Angola,ChinatoAfrica,77683137.0,False,77.683137
Angola,Transport and Storage,Loan (excluding debt rescheduling),OOF-like,"Export-Import Bank of China, Government Agency",Development,"Caxito, Uige, Negage",-7.608739999999999,15.06131,Uíge,2008,"Complementary Action: Rehabilitation of Roads for Caxito, Uige, and Negage cities (Related to Project ID#64 and ID#65)",Angola,ChinatoAfrica,77683137.0,False,77.683137
Angola,Transport and Storage,Loan (excluding debt rescheduling),OOF-like,"Export-Import Bank of China, Government Agency",Development,"Caxito, Uige, Negage",-8.57848,13.66425,Caxito,2008,"Complementary Action: Rehabilitation of Roads for Caxito, Uige, and Negage cities (Related to Project ID#64 and ID#65)",Angola,ChinatoAfrica,77683137.0,False,77.683137
Guinea,Energy Generation and Supply,Grant,ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,"Tinkisso, Guinea",10.51667,-11.45,Tinkisso,2004,China provides 2 million USD for the rehabilitation of two power plants ,Guinea,ChinatoAfrica,4121588.0,False,4.121588
Guinea,Energy Generation and Supply,Grant,ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,"Tinkisso, Guinea",11.25,-10.61667,Tinkisso,2004,China provides 2 million USD for the rehabilitation of two power plants ,Guinea,ChinatoAfrica,4121588.0,False,4.121588
"Congo, Dem. Rep.",Water Supply and Sanitation,Grant,ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,unknown,-5.76583,17.09035,Mosaka,2005,1.65 million USD grant for Mosaka water supply project,"Congo, Dem. Rep.",EcologicallySensitive,3240810.0,False,3.24081
Ethiopia,Transport and Storage,Grant,ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,"Gotera-Wollo, Addis Ababa",14.166670000000002,38.83333,Tigray,2003,Gottera-Wolo Sefer Road,Ethiopia,ChinatoAfrica,6477684.0,False,6.477684
Ethiopia,Transport and Storage,Grant,ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,"Gotera-Wollo, Addis Ababa",9.0,38.75,Ādīs Ābeba Āstedader,2003,Gottera-Wolo Sefer Road,Ethiopia,ChinatoAfrica,6477684.0,False,6.477684
Ethiopia,Transport and Storage,Grant,ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,"Gotera-Wollo, Addis Ababa",12.68333,39.55,Sefer,2003,Gottera-Wolo Sefer Road,Ethiopia,ChinatoAfrica,6477684.0,False,6.477684
Ethiopia,Transport and Storage,Grant,ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,"Gotera-Wollo, Addis Ababa",9.02497,38.74689,Addis Ababa,2003,Gottera-Wolo Sefer Road,Ethiopia,ChinatoAfrica,6477684.0,False,6.477684
Ethiopia,Transport and Storage,Grant,ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,"Gotera-Wollo, Addis Ababa",12.96033,39.52831,Southern Tigray Zone,2003,Gottera-Wolo Sefer Road,Ethiopia,ChinatoAfrica,6477684.0,False,6.477684
Ethiopia,Transport and Storage,Grant,ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,"Gotera-Wollo, Addis Ababa",9.02047,38.74457,Addis Ababa Zone 1,2003,Gottera-Wolo Sefer Road,Ethiopia,ChinatoAfrica,6477684.0,False,6.477684
Niger,Water Supply and Sanitation,Free-standing technical assistance,ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,Zinder,15.0,10.5,Zinder,2002,Zinder Water Supply Project,Niger,ChinatoAfrica,9040705.0,False,9.040705
Niger,Water Supply and Sanitation,Free-standing technical assistance,ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,Zinder,0.0,0.0,Niger,2002,Zinder Water Supply Project,Niger,ChinatoAfrica,9040705.0,False,9.040705
"Congo, Rep.",Water Supply and Sanitation,Grant,ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,unknown,-3.68192,13.34985,Sibiti,2005,China grants 5.79 million USD for Sibiti water supply project,"Congo, Rep.",ChinatoAfrica,11372296.0,False,11.372296
Gabon,Energy Generation and Supply,Loan (excluding debt rescheduling),ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,Poubara ,-1.3,13.9,Province du Haut-Ogooué,2008,Loan for Grand Poubara Hydroelectric Project ,Gabon,ChinatoAfrica,114587678.0,False,114.587678
Gabon,Energy Generation and Supply,Loan (excluding debt rescheduling),ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,Poubara ,-1.63333,13.583570000000002,Franceville,2008,Loan for Grand Poubara Hydroelectric Project ,Gabon,ChinatoAfrica,114587678.0,False,114.587678
Gabon,Energy Generation and Supply,Loan (excluding debt rescheduling),ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,Poubara ,-1.76203,13.55207,Chute de Poubara,2008,Loan for Grand Poubara Hydroelectric Project ,Gabon,ChinatoAfrica,114587678.0,False,114.587678
Equatorial Guinea,Transport and Storage,Loan (excluding debt rescheduling),Vague (Official Finance),"Unspecified Chinese Government Institution, Government Agency",Development,unknown,1.5,10.41667,Provincia de Centro Sur,2003,China funds 5.92 million USD for rehabilitation of the Bata-Niefang road in Equatorial Guinea,Equatorial Guinea,ChinatoAfrica,13043499.0,False,13.043499
Equatorial Guinea,Transport and Storage,Loan (excluding debt rescheduling),Vague (Official Finance),"Unspecified Chinese Government Institution, Government Agency",Development,unknown,1.5,9.75,Provincia de Litoral,2003,China funds 5.92 million USD for rehabilitation of the Bata-Niefang road in Equatorial Guinea,Equatorial Guinea,ChinatoAfrica,13043499.0,False,13.043499
Equatorial Guinea,Transport and Storage,Loan (excluding debt rescheduling),Vague (Official Finance),"Unspecified Chinese Government Institution, Government Agency",Development,unknown,1.85087,10.25187,Niefang,2003,China funds 5.92 million USD for rehabilitation of the Bata-Niefang road in Equatorial Guinea,Equatorial Guinea,ChinatoAfrica,13043499.0,False,13.043499
Equatorial Guinea,Transport and Storage,Loan (excluding debt rescheduling),Vague (Official Finance),"Unspecified Chinese Government Institution, Government Agency",Development,unknown,1.86391,9.76582,Bata,2003,China funds 5.92 million USD for rehabilitation of the Bata-Niefang road in Equatorial Guinea,Equatorial Guinea,ChinatoAfrica,13043499.0,False,13.043499
Equatorial Guinea,Transport and Storage,Loan (excluding debt rescheduling),Vague (Official Finance),"Unspecified Chinese Government Institution, Government Agency",Development,unknown,1.83333,10.25,Sevilla de Niefang,2003,China funds 5.92 million USD for rehabilitation of the Bata-Niefang road in Equatorial Guinea,Equatorial Guinea,ChinatoAfrica,13043499.0,False,13.043499
Equatorial Guinea,Transport and Storage,Loan (excluding debt rescheduling),Vague (Official Finance),"Unspecified Chinese Government Institution, Government Agency",Development,unknown,0.0,0.0,Equatorial Guinea,2003,China funds 5.92 million USD for rehabilitation of the Bata-Niefang road in Equatorial Guinea,Equatorial Guinea,ChinatoAfrica,13043499.0,False,13.043499
Burundi,Communications,Loan (excluding debt rescheduling),ODA-like,"Export-Import Bank of China, Government Agency",Development,"Bujumbura and its suburbs, three other cities",-3.3822,29.3644,Bujumbura,2004,Exim Bank Provides Loan for GSM mobile telecommunication project,Burundi,EcologicallySensitive,16300881.0,False,16.300881
Burundi,Communications,Loan (excluding debt rescheduling),ODA-like,"Export-Import Bank of China, Government Agency",Development,"Bujumbura and its suburbs, three other cities",0.0,0.0,Burundi,2004,Exim Bank Provides Loan for GSM mobile telecommunication project,Burundi,EcologicallySensitive,16300881.0,False,16.300881
Equatorial Guinea,Transport and Storage,Loan (excluding debt rescheduling),Vague (Official Finance),"Unspecified Chinese Government Institution, Government Agency",Development,unknown,1.5,10.41667,Provincia de Centro Sur,2001,China funds 11 million USD for construction of Niefang-Nkue road in Equatorial Guinea,Equatorial Guinea,ChinatoAfrica,25872323.0,False,25.872323
Equatorial Guinea,Transport and Storage,Loan (excluding debt rescheduling),Vague (Official Finance),"Unspecified Chinese Government Institution, Government Agency",Development,unknown,2.05,11.0,Provincia de Kié-Ntem,2001,China funds 11 million USD for construction of Niefang-Nkue road in Equatorial Guinea,Equatorial Guinea,ChinatoAfrica,25872323.0,False,25.872323
Equatorial Guinea,Transport and Storage,Loan (excluding debt rescheduling),Vague (Official Finance),"Unspecified Chinese Government Institution, Government Agency",Development,unknown,1.85087,10.25187,Niefang,2001,China funds 11 million USD for construction of Niefang-Nkue road in Equatorial Guinea,Equatorial Guinea,ChinatoAfrica,25872323.0,False,25.872323
Equatorial Guinea,Transport and Storage,Loan (excluding debt rescheduling),Vague (Official Finance),"Unspecified Chinese Government Institution, Government Agency",Development,unknown,2.0164299999999997,10.47066,Ncue,2001,China funds 11 million USD for construction of Niefang-Nkue road in Equatorial Guinea,Equatorial Guinea,ChinatoAfrica,25872323.0,False,25.872323
Equatorial Guinea,Transport and Storage,Loan (excluding debt rescheduling),Vague (Official Finance),"Unspecified Chinese Government Institution, Government Agency",Development,unknown,1.83333,10.25,Sevilla de Niefang,2001,China funds 11 million USD for construction of Niefang-Nkue road in Equatorial Guinea,Equatorial Guinea,ChinatoAfrica,25872323.0,False,25.872323
Ethiopia,Transport and Storage,Vague TBD,Vague (Official Finance),"Unspecified Chinese Government Institution, Government Agency",Development,Gotera Intersection in Addis Ababa,9.0,38.75,Ādīs Ābeba Āstedader,2006,China finances construction of the Gotera Intersection Bridge in Addis Ababa,Ethiopia,ChinatoAfrica,23378914.0,False,23.378914
Ethiopia,Transport and Storage,Vague TBD,Vague (Official Finance),"Unspecified Chinese Government Institution, Government Agency",Development,Gotera Intersection in Addis Ababa,9.02497,38.74689,Addis Ababa,2006,China finances construction of the Gotera Intersection Bridge in Addis Ababa,Ethiopia,ChinatoAfrica,23378914.0,False,23.378914
Ethiopia,Transport and Storage,Vague TBD,Vague (Official Finance),"Unspecified Chinese Government Institution, Government Agency",Development,Gotera Intersection in Addis Ababa,9.02047,38.74457,Addis Ababa Zone 1,2006,China finances construction of the Gotera Intersection Bridge in Addis Ababa,Ethiopia,ChinatoAfrica,23378914.0,False,23.378914
Ethiopia,Transport and Storage,Loan (excluding debt rescheduling),ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,Addis Ababa,9.0,38.75,Ādīs Ābeba Āstedader,2005,China loans Ethiopia 15 million USD for Addis Ababa Ring Road Phase II,Ethiopia,ChinatoAfrica,29461908.0,False,29.461908
Ethiopia,Transport and Storage,Loan (excluding debt rescheduling),ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,Addis Ababa,9.02497,38.74689,Addis Ababa,2005,China loans Ethiopia 15 million USD for Addis Ababa Ring Road Phase II,Ethiopia,ChinatoAfrica,29461908.0,False,29.461908
Ethiopia,Transport and Storage,Loan (excluding debt rescheduling),ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,Addis Ababa,9.02047,38.74457,Addis Ababa Zone 1,2005,China loans Ethiopia 15 million USD for Addis Ababa Ring Road Phase II,Ethiopia,ChinatoAfrica,29461908.0,False,29.461908
Angola,Energy Generation and Supply,Loan (excluding debt rescheduling),ODA-like,"Export-Import Bank of China, Government Agency; China Construction Bank Corporation (CCB), State-Owned Company",Development,unknown,-8.91666,13.33924,Luanda Province,2002,Phase 1: Rehabilitation and Extension of the Electrical System in Luanda,Angola,ChinatoAfrica,33902643.0,False,33.902643
Angola,Energy Generation and Supply,Loan (excluding debt rescheduling),ODA-like,"Export-Import Bank of China, Government Agency; China Construction Bank Corporation (CCB), State-Owned Company",Development,unknown,-8.83682,13.23432,Luanda,2002,Phase 1: Rehabilitation and Extension of the Electrical System in Luanda,Angola,ChinatoAfrica,33902643.0,False,33.902643
Botswana,Transport and Storage,Loan (excluding debt rescheduling),ODA-like,"Export-Import Bank of China, Government Agency",Development,"Kweneng, Souther, and Kgalagadi Districts",-24.05791,23.28187,Motokwe,2004,Dutlwe-Morwamosu Road (Letlhakeng-Kang Phase 2) linked to project ID#119,Botswana,ChinatoAfrica,32173844.0,False,32.173844
Botswana,Transport and Storage,Loan (excluding debt rescheduling),ODA-like,"Export-Import Bank of China, Government Agency",Development,"Kweneng, Souther, and Kgalagadi Districts",-24.08588,23.078670000000002,Morwamosu,2004,Dutlwe-Morwamosu Road (Letlhakeng-Kang Phase 2) linked to project ID#119,Botswana,ChinatoAfrica,32173844.0,False,32.173844
Botswana,Transport and Storage,Loan (excluding debt rescheduling),ODA-like,"Export-Import Bank of China, Government Agency",Development,"Kweneng, Souther, and Kgalagadi Districts",-23.98333,23.9,Dutlwe,2004,Dutlwe-Morwamosu Road (Letlhakeng-Kang Phase 2) linked to project ID#119,Botswana,ChinatoAfrica,32173844.0,False,32.173844
Botswana,Transport and Storage,Loan (excluding debt rescheduling),ODA-like,"Export-Import Bank of China, Government Agency",Development,"Kweneng, Souther, and Kgalagadi Districts",-23.87813,23.67398,Tshwaane,2004,Dutlwe-Morwamosu Road (Letlhakeng-Kang Phase 2) linked to project ID#119,Botswana,ChinatoAfrica,32173844.0,False,32.173844
Kenya,Transport and Storage,Loan (excluding debt rescheduling),ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,Western Kenya,0.07200000000000001,34.711999999999996,Vihiga,2001,China Loans 1.5 billion Shillings for Kipsigak-Serem-Shamakhokho road project,Kenya,EcologicallySensitive,43407550.0,False,43.40755
Kenya,Transport and Storage,Loan (excluding debt rescheduling),ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,Western Kenya,0.11094000000000001,34.830740000000006,Shamakhokho,2001,China Loans 1.5 billion Shillings for Kipsigak-Serem-Shamakhokho road project,Kenya,EcologicallySensitive,43407550.0,False,43.40755
Kenya,Transport and Storage,Loan (excluding debt rescheduling),ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,Western Kenya,0.30846,35.08311,Nandi North District,2001,China Loans 1.5 billion Shillings for Kipsigak-Serem-Shamakhokho road project,Kenya,EcologicallySensitive,43407550.0,False,43.40755
Kenya,Transport and Storage,Loan (excluding debt rescheduling),ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,Western Kenya,0.07002,34.86098,Serem,2001,China Loans 1.5 billion Shillings for Kipsigak-Serem-Shamakhokho road project,Kenya,EcologicallySensitive,43407550.0,False,43.40755
Kenya,Transport and Storage,Loan (excluding debt rescheduling),ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,Western Kenya,0.5,36.0,Rift Valley Province,2001,China Loans 1.5 billion Shillings for Kipsigak-Serem-Shamakhokho road project,Kenya,EcologicallySensitive,43407550.0,False,43.40755
Kenya,Transport and Storage,Loan (excluding debt rescheduling),ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,Western Kenya,0.15100999999999998,35.144909999999996,Kipsigak,2001,China Loans 1.5 billion Shillings for Kipsigak-Serem-Shamakhokho road project,Kenya,EcologicallySensitive,43407550.0,False,43.40755
Tanzania,Water Supply and Sanitation,Grant,ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,Chalinze,-6.15,39.51667,Pingwe,2000,China Grants 10.4 billion TSH for Chalinze Water Supply Infrastructure Phase 1 (linked to #230 and #30017),Tanzania,EcologicallySensitive,30150863.0,False,30.150863
Tanzania,Water Supply and Sanitation,Grant,ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,Chalinze,-6.566669999999999,38.3,Msoga,2000,China Grants 10.4 billion TSH for Chalinze Water Supply Infrastructure Phase 1 (linked to #230 and #30017),Tanzania,EcologicallySensitive,30150863.0,False,30.150863
Tanzania,Water Supply and Sanitation,Grant,ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,Chalinze,-6.33333,38.38333,Msata,2000,China Grants 10.4 billion TSH for Chalinze Water Supply Infrastructure Phase 1 (linked to #230 and #30017),Tanzania,EcologicallySensitive,30150863.0,False,30.150863
Tanzania,Water Supply and Sanitation,Grant,ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,Chalinze,-6.11667,38.4,Miono,2000,China Grants 10.4 billion TSH for Chalinze Water Supply Infrastructure Phase 1 (linked to #230 and #30017),Tanzania,EcologicallySensitive,30150863.0,False,30.150863
Tanzania,Water Supply and Sanitation,Grant,ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,Chalinze,-6.066669999999999,38.23333,Mbwewe,2000,China Grants 10.4 billion TSH for Chalinze Water Supply Infrastructure Phase 1 (linked to #230 and #30017),Tanzania,EcologicallySensitive,30150863.0,False,30.150863
Tanzania,Water Supply and Sanitation,Grant,ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,Chalinze,-7.433330000000001,33.43333,Mbogo,2000,China Grants 10.4 billion TSH for Chalinze Water Supply Infrastructure Phase 1 (linked to #230 and #30017),Tanzania,EcologicallySensitive,30150863.0,False,30.150863
